genus,2013-06-28,2013-07-06,2013-07-13,2013-07-21,2013-07-26,2013-08-02,2013-08-10,2013-08-16,2013-08-24,2013-09-01,2013-09-08,2013-09-14,2013-09-22
f__Adoxaceae_g__Sambucus,0.006230832,0.016308364,0,0,0,0,0,0,0,0,0,0,0
f__Adoxaceae_g__Viburnum,0,0,0,0,0,0.018792619,0,0.038192385,0,0.080861904,0,0.01147566,0
f__Amaryllidaceae_g__Allium,0,0,0,0,0,0,0,0.008783487,0,0.076583961,0.063941809,0.032607585,0
f__Anacardiaceae_g__Rhus,0,0,0,0,0,0,0,0,0,0.003629516,0,0,0
f__Araliaceae_g__Aralia,0,0,0,0,0,0,0,0,0.085893579,0.004364219,0.104777182,0,0.080532943
f__Araliaceae_g__Eleutherococcus,0,0,0,0,0,0,0,0,0.039240078,0.00569561,0.052503793,0,0.050391031
f__Araliaceae_g__Hedera,0,0,0,0,0,0,0,0.015739808,0.133374853,0.016658218,0.192164657,0.426131521,0.262967348
f__Asparagaceae_g__Hosta,0,0,0,0,0,0,0,0,0,0,0.001627485,0,0
f__Asteraceae_g__Ageratina,0,0,0,0,0,0,0,0,0,0,0,0.100907174,0
f__Asteraceae_g__Ambrosia,0,0,0.004601335,0.001839889,0,0.001617241,0,0,0.01937879,0.083762311,0,0,0
f__Asteraceae_g__Arctium,0,0,0.001220404,0.003228802,0,0.001343712,0,0,0.005501976,0,0,0,0
f__Asteraceae_g__Centaurea,0,0,0,0.006232545,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Cichorium,0,0,0,0.013870567,0,0.033135138,0,0,0,0,0,0,0
f__Asteraceae_g__Cirsium,0,0.00268123,0,0.003042916,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Coreopsis,0,0.002991517,0.002090923,0.007149757,0,0.006388787,0,0,0,0,0,0,0
f__Asteraceae_g__Echinacea,0,0.012946068,0.117675527,0.054881664,0.173896027,0.012545429,0.017716599,0.003808385,0,0,0,0,0
f__Asteraceae_g__Erechtites,0,0,0,0,0,0,0,0,0,0,0.008263403,0,0
f__Asteraceae_g__Eupatorium,0,0,0,0,0,0,0,0,0.00612702,0.004304487,0.115685579,0,0.010820214
f__Asteraceae_g__Eurybia,0,0,0,0,0,0,0,0,0,0,0.005853981,0,0.078584268
f__Asteraceae_g__Eutrochium,0,0,0,0.015771448,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Helianthus,0,0,0,0.033011419,0,0.154144217,0,0.074874423,0.024545613,0.003714404,0.017577636,0,0.004649098
f__Asteraceae_g__Heliopsis,0,0,0,0,0,0,0,0,0.01518853,0,0,0,0
f__Asteraceae_g__Lactuca,0,0,0,0,0,0,0,0,0.003072481,0,0,0,0
f__Asteraceae_g__Liatris,0,0,0.019914657,0.082152667,0,0.039734926,0,0.005758411,0,0,0,0,0
f__Asteraceae_g__Parthenium,0,0,0.001648745,0,0,0,0,0,0.001157514,0,0,0,0
f__Asteraceae_g__Rudbeckia,0,0.003535352,0,0,0,0,0,0.025951201,0,0.003033024,0,0,0
f__Asteraceae_g__Silphium,0,0,0,0.004966319,0,0.023864239,0,0,0.039391185,0.095839999,0,0,0
f__Asteraceae_g__Solidago,0,0,0,0,0,0,0,0,0,0.042242569,0.007590982,0.095327364,0.216485049
f__Asteraceae_g__Symphyotrichum,0,0,0,0,0,0,0,0,0,0.019336294,0.002924537,0.067226012,0.038785938
f__Asteraceae_g__Taraxacum,0,0,0.004146623,0.006263232,0,0,0,0,0.007626889,0.002630245,0,0,0.0016387
f__Asteraceae_g__Verbesina,0,0,0.03893827,0.013366562,0,0,0,0,0.006196773,0.008059199,0.002687094,0,0
f__Asteraceae_g__Vernonia,0,0,0,0,0,0,0,0.003132595,0.003143883,0,0,0,0
f__Asteraceae_g__Zinnia,0,0,0,0.002678046,0,0.002912806,0,0.006449415,0.006335609,0,0.00225767,0,0
f__Balsaminaceae_g__Impatiens,0,0,0,0,0,0,0,0,0.007729533,0,0.013633706,0,0
f__Bignoniaceae_g__Campsis,0.170386073,0.20492465,0,0,0,0,0,0,0,0,0,0,0
f__Brassicaceae_g__Brassica,0,0,0,0.001182004,0,0,0,0,0,0,0,0,0
f__Campanulaceae_g__Campanula,0.02520257,0,0,0,0,0,0,0,0,0,0,0,0
f__Cannabaceae_g__Humulus,0,0,0,0,0,0,0,0,0,0,0.012763748,0,0
f__Cornaceae_g__Cornus,0,0,0,0,0,0,0,0,0,0.001457993,0,0,0
f__Crassulaceae_g__Hylotelephium,0,0,0,0,0,0,0,0,0,0,0.003909629,0.005625577,0.063038311
f__Cucurbitaceae_g__Cucumis,0,0,0,0,0.022139028,0.002270161,0,0.003962055,0,0,0,0,0
f__Fabaceae_g__Glycine,0,0,0,0,0,0,0,0,0,0.017181914,0,0,0
f__Fabaceae_g__Lotus,0.002326106,0,0,0,0,0,0,0,0,0,0,0,0
f__Fabaceae_g__Melilotus,0,0,0,0.002682803,0,0.005485605,0,0,0,0.006893987,0,0,0
f__Fabaceae_g__Styphnolobium,0,0,0,0,0,0.053377375,0,0,0,0,0,0,0
f__Fabaceae_g__Trifolium,0.495036547,0.43511589,0.381338189,0.474090862,0.71552795,0.340056908,0.620747933,0.224714555,0.256258694,0.265202666,0.270366495,0.132418374,0.175162301
f__Fagaceae_g__Quercus,0,0,0,0,0,0,0,0,0,0,0,0.014007342,0
f__Hydrangeaceae_g__Hydrangea,0.235983353,0.123471569,0,0,0.012728665,0.0395242,0.206806657,0.328310643,0.209075082,0.068094121,0.056025003,0.040857886,0
f__Lamiaceae_g__Salvia,0,0,0,0.001019377,0,0,0,0,0,0,0.001292531,0,0
f__Lythraceae_g__Lagerstroemia,0,0,0,0.009626529,0,0,0.027479037,0,0.004229926,0,0,0,0
f__Lythraceae_g__Lythrum,0,0.002100178,0.022326084,0,0.06949715,0.009716689,0.008914114,0.008722249,0,0,0,0,0
f__Magnoliaceae_g__Magnolia,0,0.008252854,0,0,0,0,0,0,0,0,0,0,0
f__Malvaceae_g__Sida,0,0,0,0,0,0,0,0.001919598,0,0,0,0,0
f__Oleaceae_g__Ligustrum,0.010095482,0.003174014,0,0,0,0,0,0,0,0,0,0,0
f__Oleaceae_g__Syringa,0.025594773,0.01427258,0,0,0,0,0,0,0,0,0,0,0
f__Papaveraceae_g__Eschscholzia,0,0,0,0,0,0,0.005377946,0,0.001167086,0,0,0,0
f__Papaveraceae_g__Macleaya,0,0,0,0.074013807,0,0.156543731,0,0,0,0,0,0,0
f__Papaveraceae_g__Papaver,0,0.062376271,0,0,0,0,0,0,0,0,0,0,0
f__Phytolaccaceae_g__Phytolacca,0,0.003776298,0.016065798,0.025389819,0.004015996,0.012595753,0.006035682,0.002887003,0.002442157,0,0.001479226,0.001455758,0
f__Plantaginaceae_g__Plantago,0,0.024012104,0,0.12830112,0,0.05967003,0.097679634,0.173727112,0.007404519,0.017056719,0.002091197,0.005585948,0
f__Plantaginaceae_g__Veronica,0,0,0,0.003348704,0,0,0,0,0,0,0,0,0
f__Polygonaceae_g__Fagopyrum,0,0.002192102,0,0,0,0,0,0,0,0,0,0,0
f__Ranunculaceae_g__Anemone,0,0,0,0,0,0,0,0,0.001600317,0,0,0,0
f__Ranunculaceae_g__Clematis,0,0,0,0,0,0,0,0,0.020786015,0.002337996,0.055429852,0,0
f__Rosaceae_g__Rosa,0,0,0,0.007454993,0.002195184,0.009396309,0,0.035689429,0,0.053416966,0.003497999,0.066373798,0.016944797
f__Sapindaceae_g__Koelreuteria,0.008619837,0.005967556,0.001065824,0,0,0,0,0,0,0,0,0,0
f__Saururaceae_g__Saururus,0,0.001897358,0,0,0,0,0,0,0,0,0,0,0
f__Scrophulariaceae_g__Buddleja,0,0,0,0.011204649,0,0.016884124,0.00119411,0.037377247,0.003099566,0.002034966,0,0,0
f__Ulmaceae_g__Ulmus,0,0,0,0,0,0,0.008048287,0,0.090032332,0.115606713,0,0,0
f__Vitaceae_g__Cissus,0,0,0.003773288,0,0,0,0,0,0,0,0,0,0
f__Vitaceae_g__Parthenocissus,0.0179616,0.069411665,0.379196242,0.012282627,0,0,0,0,0,0,0,0,0
f__Vitaceae_g__Vitis,0,0,0.004542241,0,0,0,0,0,0,0,0,0,0
