genus,2013-06-28,2013-07-06,2013-07-13,2013-07-21,2013-07-26,2013-08-02,2013-08-10,2013-08-16,2013-08-24,2013-09-01,2013-09-08,2013-09-14,2013-09-22
o__Apiales_f__Araliaceae,0,0,0,0.00108388,0,0,0,0.012579787,0.209920509,0.020862531,0.352697694,0.395793036,0.336877457
o__Asparagales_f__Amaryllidaceae,0,0.014828325,0,0,0,0,0,0.006241336,0.008404819,0.052066912,0.064864141,0.026824452,0
o__Asparagales_f__Asparagaceae,0,0,0,0.001524506,0,0,0,0,0,0,0.011831462,0,0
o__Asparagales_f__Iridaceae,0,0,0,0,0,0.001199961,0,0,0,0,0,0,0
o__Asterales_f__Asteraceae,0.001330166,0.034624041,0.215137761,0.115613822,0.451639013,0.281373173,0.227153121,0.215493242,0.181078972,0.179860996,0.242342226,0.222809377,0.454100663
o__Asterales_f__Campanulaceae,0.02732342,0,0,0,0,0,0,0,0,0,0,0,0
o__Brassicales_f__Brassicaceae,0,0,0,0,0,0,0,0,0.022738432,0,0,0,0
o__Caryophyllales_f__Phytolaccaceae,0,0.003701034,0.015534747,0.019375737,0.002652997,0.010978234,0.00522605,0.002023137,0.00240035,0,0.001773598,0.001197571,0
o__Caryophyllales_f__Polygonaceae,0,0.002148412,0,0,0,0,0,0,0,0,0,0,0
o__Cornales_f__Hydrangeaceae,0.257421667,0.121954966,0,0,0.008408651,0.034783041,0.179854908,0.232396163,0.205495955,0.049672692,0.073419427,0.049217932,0
o__Cucurbitales_f__Cucurbitaceae,0,0,0,0,0.015355906,0.001978632,0.00667058,0.003034795,0,0,0,0,0
o__Dipsacales_f__Adoxaceae,0.006799053,0.016370733,0,0,0,0.016379312,0,0.030380288,0,0.059644577,0.001477998,0.010902308,0
o__Ericales_f__Balsaminaceae,0,0,0,0,0,0,0,0,0.007597212,0,0.016346869,0,0
o__Fabales_f__Fabaceae,0.441856893,0.427661006,0.373915052,0.664880306,0.474099555,0.417727554,0.424412444,0.292556348,0.252199581,0.512224799,0.133665976,0.213602577,0.151996833
o__Fagales_f__Fagaceae,0,0,0,0,0,0,0,0,0,0,0,0.013228636,0
o__Lamiales_f__Bignoniaceae,0.187356775,0.201498428,0,0,0,0,0,0.014580976,0,0,0,0,0
o__Lamiales_f__Lamiaceae,0,0,0.002184448,0.001603839,0,0,0,0,0,0,0.002119896,0,0
o__Lamiales_f__Oleaceae,0.042654937,0.006198473,0,0.001893126,0,0.002302184,0,0,0,0,0.003819725,0,0
o__Lamiales_f__Plantaginaceae,0,0.023533528,0,0.102486836,0,0.054682954,0.085084329,0.131708788,0.007954763,0.012306279,0.005036689,0.004920121,0
o__Lamiales_f__Scrophulariaceae,0,0,0,0.008550606,0,0.015384807,0.001146718,0.026193002,0.003046505,0.001383506,0,0,0
o__Magnoliales_f__Magnoliaceae,0,0.008088369,0,0,0,0,0,0,0,0,0,0,0
o__Malvales_f__Malvaceae,0.001004449,0,0,0,0,0,0,0.001345204,0,0,0,0,0
o__Myrtales_f__Lythraceae,0.001064911,0.00205832,0.0215881,0.007346295,0.045910338,0.009388637,0.031511336,0.006198422,0.004157514,0,0,0,0
o__Piperales_f__Saururaceae,0,0.001859542,0,0,0,0,0,0,0,0,0,0,0
o__Poales_f__Poaceae,0,0,0,0,0,0,0,0,0,0.015791492,0,0,0
o__Ranunculales_f__Papaveraceae,0,0.061133072,0,0.0566026,0,0.137222622,0.004712937,0,0.001147107,0,0,0,0
o__Ranunculales_f__Ranunculaceae,0,0,0,0,0,0,0,0,0.001523252,0.001589526,0.066526861,0,0
o__Rosales_f__Cannabaceae,0,0,0,0,0,0,0,0,0,0,0.015303786,0,0
o__Rosales_f__Rosaceae,0,0,0,0.006949968,0.00193354,0.014269589,0.027258895,0.025268513,0.003843947,0.007064916,0.00305243,0.056876139,0.002159813
o__Rosales_f__Ulmaceae,0,0,0,0,0,0,0.006968681,0,0.088491081,0.078597195,0,0,0
o__Sapindales_f__Anacardiaceae,0,0,0,0,0,0,0,0,0,0.003118401,0,0,0
o__Sapindales_f__Rutaceae,0,0,0,0,0,0.001353063,0,0,0,0,0,0,0
o__Sapindales_f__Sapindaceae,0.010100317,0.005848619,0.001030593,0,0,0,0,0,0,0,0,0,0
o__Saxifragales_f__Crassulaceae,0,0,0,0,0,0,0,0,0,0,0.004905691,0.00462785,0.054865234
o__Vitales_f__Vitaceae,0.021412734,0.068493132,0.368194873,0.011102398,0,0,0,0,0,0.002309639,0,0,0
