genus,2014-07-02,2014-07-09,2014-07-15,2014-07-23,2014-07-31,2014-08-07,2014-08-13,2014-08-21,2014-08-28,2014-09-04,2014-09-12,2014-09-19,2014-09-26,2014-10-02
o__Alismatales_f__Alismataceae,0,0,0,0,0,0,0.104977015,0.048159718,0,0,0,0,0,0
o__Apiales_f__Apiaceae,0,0,0.013428823,0,0.097172478,0,0.115943154,0.038993516,0,0.046946363,0,0,0,0
o__Apiales_f__Araliaceae,0,0,0,0,0,0,0,0,0,0.001012121,0,0,0,0
o__Asterales_f__Asteraceae,0.057760126,0.024044676,0.018063457,0.044281572,0.035477083,0.132552528,0.034911181,0.112156241,0.443886801,0.509941821,0.586262839,0.05841336,0.615253558,0.669387613
o__Brassicales_f__Brassicaceae,0,0,0,0.048069493,0,0.032570645,0,0.026737144,0,0,0,0,0,0
o__Brassicales_f__Cleomaceae,0,0,0,0,0,0,0,0.028970326,0,0,0,0,0,0
o__Caryophyllales_f__Polygonaceae,0,0,0,0,0,0,0,0,0,0,0.011722231,0,0,0
o__Cornales_f__Hydrangeaceae,0,0,0,0,0.028743077,0.023607483,0,0.007627357,0,0,0,0,0,0
o__Dipsacales_f__Adoxaceae,0,0,0,0,0,0,0,0.001683905,0,0,0,0,0,0
o__Dipsacales_f__Caprifoliaceae,0,0,0,0,0.005634254,0,0,0,0,0,0,0,0,0
o__Ericales_f__Balsaminaceae,0,0,0,0,0,0,0,0,0,0.006516261,0,0,0,0
o__Fabales_f__Fabaceae,0.868774125,0.922686165,0.940488912,0.83698169,0.790499438,0.724845704,0.600948843,0.710607905,0.442839947,0.419695437,0.40201493,0.856616426,0.384746442,0.307539253
o__Gentianales_f__Apocynaceae,0,0,0,0.002436842,0,0,0,0,0,0,0,0,0,0
o__Lamiales_f__Lamiaceae,0,0,0,0,0,0,0.001741092,0,0,0,0,0,0,0
o__Lamiales_f__Plantaginaceae,0.020979405,0.028763787,0.010695358,0.065580678,0.038001771,0.08484596,0.032654774,0,0.113273251,0.007546477,0,0.084970214,0,0.023073133
o__Malpighiales_f__Hypericaceae,0,0.002101885,0,0,0,0.001577679,0.003676023,0,0,0,0,0,0,0
o__Myrtales_f__Lythraceae,0,0.01525364,0,0,0,0,0,0,0,0,0,0,0,0
o__Rosales_f__Rosaceae,0.030894555,0,0.001117576,0,0.003684654,0,0,0,0,0,0,0,0,0
o__Rosales_f__Ulmaceae,0,0,0,0,0,0,0.098517902,0,0,0,0,0,0,0
o__Sapindales_f__Anacardiaceae,0,0,0,0,0,0,0.006630017,0,0,0,0,0,0,0
o__Saxifragales_f__Crassulaceae,0,0,0,0,0,0,0,0,0,0.008341522,0,0,0,0
o__Saxifragales_f__Penthoraceae,0,0,0,0,0,0,0,0.023343045,0,0,0,0,0,0
o__Vitales_f__Vitaceae,0.021591789,0.006167669,0.015510261,0.002649724,0,0,0,0,0,0,0,0,0,0
