genus,2014-07-02,2014-07-09,2014-07-15,2014-07-20,2014-07-23,2014-07-27,2014-07-31,2014-08-03,2014-08-13,2014-08-21,2014-08-28,2014-09-04,2014-09-12,2014-09-19,2014-09-26,2014-10-02
o__Alismatales_f__Butomaceae,0.002202556,0,0.017137504,0,0,0,0,0,0,0,0,0,0,0,0,0
o__Apiales_f__Apiaceae,0,0,0,0,0,0,0,0,0,0,0,0.042985116,0,0,0,0
o__Apiales_f__Araliaceae,0,0,0.001584646,0,0,0,0,0,0,0,0,0,0,0,0.094660509,0
o__Asparagales_f__Amaryllidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05188347,0,0
o__Asterales_f__Asteraceae,0,0.002479813,0.02007019,0.00201074,0.188057617,0.024573,0.057600545,0.01577154,0.208392675,0.402743003,0.414174972,0.056543776,0.296417739,0.325185856,0.513185604,0.671722114
o__Brassicales_f__Brassicaceae,0.018238232,0.016629334,0.029070949,0.145319779,0,0.103214849,0,0.004171434,0,0.006445073,0,0,0,0.016319448,0.001822445,0
o__Caryophyllales_f__Polygonaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013569612,0
o__Cornales_f__Hydrangeaceae,0,0,0.002611938,0,0,0,0,0,0,0,0,0,0,0.056033214,0,0
o__Cucurbitales_f__Cucurbitaceae,0,0,0.00127082,0,0,0,0,0,0,0.00399519,0,0.142294485,0.007952364,0,0,0
o__Dipsacales_f__Adoxaceae,0.001621347,0.069795896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__Dipsacales_f__Caprifoliaceae,0,0,0.005816531,0,0,0,0,0,0,0,0,0,0,0,0,0
o__Fabales_f__Fabaceae,0.976386217,0.560698561,0.744609533,0.822713243,0.746805728,0.872212151,0.893183367,0.923413854,0.777089385,0.540242205,0.585825028,0.745398206,0.68644108,0.541976427,0.376761829,0.328277886
o__Lamiales_f__Acanthaceae,0,0.00989304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__Lamiales_f__Plantaginaceae,0.001551648,0,0.103644254,0.013771688,0.065136655,0,0.049216087,0.053598371,0.01451794,0.04657453,0,0.012778417,0.009188816,0.008601585,0,0
o__Poales_f__Poaceae,0,0,0.061074401,0,0,0,0,0,0,0,0,0,0,0,0,0
o__Ranunculales_f__Ranunculaceae,0,0,0.00175557,0,0,0,0,0,0,0,0,0,0,0,0,0
o__Rosales_f__Rosaceae,0,0.001887335,0.002225104,0,0,0,0,0.0030448,0,0,0,0,0,0,0,0
o__Vitales_f__Vitaceae,0,0.338616021,0.009128559,0.01618455,0,0,0,0,0,0,0,0,0,0,0,0
