genus,2014-07-02,2014-07-09,2014-07-15,2014-07-23,2014-07-31,2014-08-07,2014-08-15,2014-08-21,2014-08-28,2014-09-04,2014-09-12,2014-09-19,2014-09-26,2014-10-02
o__Alismatales_f__Butomaceae,0,0,0,0,0,0.005509431,0,0,0,0,0,0,0,0
o__Apiales_f__Araliaceae,0,0,0,0,0,0,0,0.014135355,0.169960126,0.132735729,0.373016248,0.018851187,0.030546077,0.004126931
o__Asparagales_f__Amaryllidaceae,0,0,0,0,0,0,0,0,0,0.0056289,0,0,0,0
o__Asparagales_f__Asparagaceae,0,0,0,0.001128659,0,0,0,0,0,0,0,0,0,0
o__Asterales_f__Asteraceae,0.009059066,0.251380732,0.059988078,0.026001683,0.082087402,0.05352819,0.039140474,0.08809416,0.129042557,0.323604311,0.220194641,0.472464928,0.017892394,0.239023368
o__Brassicales_f__Brassicaceae,0.002202855,0,0,0.019481514,0.078251147,0.084015986,0.009539838,0,0,0,0,0,0,0
o__Brassicales_f__Cleomaceae,0,0,0,0.008171712,0.033183072,0.036041115,0.007416268,0.089561642,0.025417466,0,0,0.03368963,0,0.063353484
o__Caryophyllales_f__Chenopodiaceae,0,0,0,0,0,0,0,0,0,0,0,0.012839515,0,0
o__Caryophyllales_f__Phytolaccaceae,0,0.011724573,0.007470305,0.01268418,0.026443724,0.014502244,0.018997628,0.006892259,0,0.021943013,0.003751763,0.002902564,0,0
o__Cornales_f__Hydrangeaceae,0.021539025,0.045063323,0.036296263,0.108722023,0.154899882,0.073404735,0.190796763,0.083355968,0.029723702,0.050826092,0.019275979,0.0116151,0,0
o__Dipsacales_f__Caprifoliaceae,0,0,0,0,0.002047527,0.001658864,0.01589973,0,0,0,0,0,0,0
o__Ericales_f__Balsaminaceae,0,0,0,0,0,0,0,0,0,0,0,0.005991872,0,0
o__Fabales_f__Fabaceae,0.938171385,0.602773555,0.777421739,0.668559856,0.576067321,0.613789915,0.432399235,0.528564962,0.450251365,0.205397412,0.172962841,0.115200226,0.157476005,0.289634296
o__Fagales_f__Fagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.155279665,0
o__Gentianales_f__Gentianaceae,0,0,0,0,0.00105194,0,0,0,0,0,0,0,0,0
o__Lamiales_f__Lamiaceae,0.002942371,0,0,0,0,0.005810192,0,0.004855138,0,0.003561141,0,0.001584003,0,0.008560268
o__Lamiales_f__Oleaceae,0,0,0,0,0,0,0,0,0,0.001044962,0,0,0,0
o__Lamiales_f__Plantaginaceae,0.001792716,0.025760361,0,0.049661414,0.018826279,0.062829476,0.269725932,0.164135355,0.100533036,0.077907671,0.001962014,0,0,0.003588181
o__Lamiales_f__Scrophulariaceae,0,0,0,0,0,0.00207358,0,0,0,0,0,0,0,0
o__Lamiales_f__Verbenaceae,0,0,0,0,0,0.033930916,0,0,0,0,0,0,0,0
o__Magnoliales_f__Magnoliaceae,0.022115393,0,0,0,0.004120912,0,0,0,0,0,0,0,0,0
o__Myrtales_f__Lythraceae,0,0.057232953,0.118823616,0.104123807,0.008017022,0.012905356,0,0,0,0,0,0,0,0
o__Myrtales_f__Onagraceae,0,0,0,0,0,0,0,0.002089935,0,0,0,0,0,0
o__Proteales_f__Platanaceae,0,0,0,0,0,0,0,0,0.027063308,0,0,0,0,0
o__Ranunculales_f__Ranunculaceae,0,0,0,0,0,0,0,0,0.036570946,0.044784431,0.022990095,0,0.040632776,0
o__Rosales_f__Rosaceae,0,0.003224879,0,0,0.003407507,0,0,0,0.031437494,0,0.002917446,0.001580339,0.001376338,0.046530067
o__Rosales_f__Ulmaceae,0,0,0,0,0,0,0.015284103,0.018315226,0,0,0,0.14745629,0.568967744,0.140307626
o__Sapindales_f__Anacardiaceae,0,0,0,0,0.003126531,0,0,0,0,0.131647334,0.182928972,0.175824345,0.017184196,0.204875781
o__Sapindales_f__Rutaceae,0,0,0,0,0.005551951,0,0,0,0,0,0,0,0,0
o__Solanales_f__Convolvulaceae,0,0,0,0,0.001628331,0,0,0,0,0,0,0,0,0
o__Solanales_f__Solanaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.010644806,0
o__Vitales_f__Vitaceae,0.002177189,0.002839624,0,0,0,0,0,0,0,0,0,0,0,0
