genus,2014-07-02,2014-07-09,2014-07-15,2014-07-23,2014-07-31,2014-08-07,2014-08-13,2014-08-21,2014-08-28,2014-09-09,2014-09-12,2014-09-19,2014-09-22
f__Adoxaceae_g__Sambucus,0.055678619,0,0,0,0,0,0,0,0,0,0,0,0
f__Adoxaceae_g__Viburnum,0,0,0,0,0,0.016304644,0,0,0.004507643,0,0,0,0
f__Amaranthaceae_g__Celosia,0,0,0,0,0,0,0,0,0,0,0,0,0.014628263
f__Amaryllidaceae_g__Allium,0,0,0,0,0,0,0,0,0.04407059,0.025550133,0,0,0
f__Araliaceae_g__Aralia,0,0,0,0,0,0,0.004614833,0.012639389,0,0,0,0,0
f__Araliaceae_g__Eleutherococcus,0,0,0,0,0,0,0,0.003872949,0,0,0,0,0
f__Araliaceae_g__Hedera,0,0,0,0,0,0,0.004087424,0.011851373,0.138116636,0.232240427,0.299441439,0.060290753,0.003072518
f__Asphodelaceae_g__Hemerocallis,0,0,0,0,0,0,0,0,0,0,0,0,0.030342076
f__Asteraceae_g__Ageratina,0,0,0,0,0,0,0,0,0.003621591,0.001175298,0,0,0.032723612
f__Asteraceae_g__Ageratum,0,0,0,0,0.005931283,0,0,0.015412686,0,0,0,0,0
f__Asteraceae_g__Ambrosia,0,0,0,0,0,0,0.003767534,0.006501724,0,0,0.021427887,0,0
f__Asteraceae_g__Arctium,0,0,0.002766676,0,0.006803485,0.078525747,0.002885013,0,0,0,0,0,0
f__Asteraceae_g__Aster,0,0,0,0,0,0,0,0,0,0,0,0,0.003091029
f__Asteraceae_g__Centaurea,0,0,0,0,0.001132858,0,0.001333049,0,0,0,0,0,0
f__Asteraceae_g__Cichorium,0,0,0,0,0,0,0,0,0,0.090367744,0,0,0
f__Asteraceae_g__Cirsium,0,0,0,0,0,0,0.002458675,0,0,0,0,0,0.00158077
f__Asteraceae_g__Conoclinium,0,0,0,0,0,0,0,0,0.013302946,0.00429306,0,0,0
f__Asteraceae_g__Coreopsis,0,0,0.001042618,0,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Echinacea,0.013935374,0.006532727,0.005905435,0.095083056,0.1478694,0.052076718,0.024653954,0,0,0,0,0,0
f__Asteraceae_g__Eupatorium,0,0,0,0,0.032758543,0,0.00604478,0.001877122,0.00543197,0,0,0,0
f__Asteraceae_g__Eurybia,0,0,0,0,0,0,0,0,0,0,0,0.028671222,0.062242037
f__Asteraceae_g__Gaillardia,0,0,0,0,0,0,0,0,0,0,0,0,0.001203947
f__Asteraceae_g__Helianthus,0,0,0,0,0.003271924,0,0.004124889,0.003591546,0,0,0,0,0.005697711
f__Asteraceae_g__Heliopsis,0,0,0,0,0,0.035560618,0.027930289,0.043016018,0.006007211,0,0,0,0
f__Asteraceae_g__Liatris,0,0.003718307,0.002933902,0,0.061825069,0,0,0,0,0,0,0,0
f__Asteraceae_g__Parthenium,0,0,0,0,0,0,0,0.007786268,0,0,0,0,0
f__Asteraceae_g__Ratibida,0,0,0,0,0,0,0.00237659,0,0.002580857,0,0,0.022907992,0.001526811
f__Asteraceae_g__Rudbeckia,0,0,0,0,0.05603704,0,0.115114541,0.002308274,0.032493019,0,0,0,0
f__Asteraceae_g__Silphium,0,0,0,0,0.001922399,0.085106322,0.0415335,0.059979647,0.015490002,0.001404147,0,0,0
f__Asteraceae_g__Solidago,0,0,0,0,0,0,0.037189056,0,0.038985898,0,0.143159537,0.043259014,0.077235636
f__Asteraceae_g__Symphyotrichum,0,0,0,0,0,0,0,0,0,0,0,0.086518028,0.161364798
f__Asteraceae_g__Taraxacum,0,0,0,0,0,0,0.003470434,0,0,0,0,0,0.010113256
f__Asteraceae_g__Verbesina,0,0,0,0,0,0,0.004052602,0.002557414,0.006161543,0,0,0,0
f__Asteraceae_g__Vernonia,0,0,0,0,0,0,0,0.001975917,0,0,0,0,0
f__Asteraceae_g__Zinnia,0,0.004173835,0,0,0.002525352,0,0.004483092,0.003853568,0.003568205,0.001882548,0,0.018568456,0.024971449
f__Balsaminaceae_g__Impatiens,0,0,0,0,0,0,0,0.04477866,0,0.044210444,0,0.058418876,0.096090984
f__Brassicaceae_g__Brassica,0.029775193,0,0,0,0,0,0.003503791,0,0,0,0.003072833,0,0
f__Butomaceae_g__Butomus,0,0,0,0,0,0,0.002179194,0,0,0,0,0,0
f__Cannabaceae_g__Humulus,0,0,0,0,0,0,0,0,0,0.001597632,0,0,0
f__Convolvulaceae_g__Convolvulus,0,0,0,0,0.001344208,0,0,0,0,0,0,0,0
f__Crassulaceae_g__Hylotelephium,0,0,0,0,0,0,0,0,0.003193192,0,0,0,0.002462451
