genus,2013-06-28,2013-07-03,2013-07-13,2013-07-20,2013-07-26,2013-08-02,2013-08-10,2013-08-15,2013-08-24,2013-09-01,2013-09-08,2013-09-14,2013-09-22
f__Amaranthaceae_g__Celosia,0,0,0,0,0,0,0,0,0,0,0,0,0.003726362
f__Amaryllidaceae_g__Allium,0,0,0,0,0,0,0,0,0,0,0,0.028062863,0
f__Apiaceae_g__Daucus,0,0,0,0,0,0.063268316,0,0.011006865,0.03375372,0,0,0,0
f__Araliaceae_g__Hedera,0,0,0,0,0,0,0,0.079693466,0,0,0,0.001066449,0
f__Asparagaceae_g__Hosta,0,0,0,0,0,0,0,0.001222051,0,0,0,0,0
f__Asteraceae_g__Ambrosia,0,0,0,0,0,0,0.050678586,0.094096239,0.089377679,0.095420427,0.001126174,0.003658096,0
f__Asteraceae_g__Arctium,0,0,0,0,0.007697826,0.001623761,0.001893312,0,0,0,0,0,0
f__Asteraceae_g__Aster,0,0,0,0,0,0,0,0,0,0,0,0.011244038,0.004473212
f__Asteraceae_g__Bidens,0,0,0,0,0,0,0,0,0,0,0.002661776,0.002399511,0
f__Asteraceae_g__Carduus,0,0,0,0,0,0.006957717,0,0,0,0,0,0,0
f__Asteraceae_g__Cichorium,0,0.00991129,0,0,0,0.114391705,0.062439662,0.021826406,0.030757214,0.004782961,0.010822979,0.041458209,0.003012016
f__Asteraceae_g__Cirsium,0.0205833,0.010567995,0.010459704,0.001664702,0.004898308,0.041469812,0.019422437,0.003667546,0.001581983,0,0,0,0
f__Asteraceae_g__Echinacea,0,0.004846195,0,0,0.013703789,0.001245688,0,0.001583208,0,0,0,0,0
f__Asteraceae_g__Erechtites,0,0,0,0,0,0,0,0,0,0,0.013223835,0.00477546,0.001793413
f__Asteraceae_g__Erigeron,0,0,0,0,0,0,0,0,0,0,0.018417221,0,0
f__Asteraceae_g__Eupatorium,0,0,0,0,0,0.006235474,0,0.034008156,0.020246612,0.15305474,0.018403587,0.001999592,0.005422913
f__Asteraceae_g__Eurybia,0,0,0,0,0,0,0,0,0,0,0.071870696,0.072669659,0.086022488
f__Asteraceae_g__Euthamia,0,0,0,0,0,0,0,0,0,0,0,0.001476558,0
f__Asteraceae_g__Helenium,0,0,0,0,0,0,0,0,0,0.075147986,0.258696054,0.065586621,0.036768233
f__Asteraceae_g__Helianthus,0,0,0,0,0,0.022878341,0,0.006640889,0,0,0,0.010216596,0
f__Asteraceae_g__Hieracium,0,0,0,0,0,0,0,0,0,0,0.001502976,0.03761325,0
