genus,2014-07-02,2014-07-09,2014-07-15,2014-07-23,2014-07-31,2014-08-07,2014-08-13,2014-08-21,2014-08-28,2014-09-04,2014-09-12,2014-09-19,2014-09-26,2014-10-02
f__Adoxaceae_g__Viburnum,0,0,0,0,0,0,0,0.00190282,0,0,0,0,0,0
f__Alismataceae_g__Sagittaria,0,0,0,0,0,0,0.100527084,0.054420704,0,0,0,0,0,0
f__Anacardiaceae_g__Rhus,0,0,0,0,0,0,0.006348973,0,0,0,0,0,0,0
f__Apiaceae_g__Daucus,0,0,0.014950817,0,0.111320973,0,0.110089883,0.043863023,0,0.044318969,0,0,0,0
f__Apocynaceae_g__Asclepias,0,0,0,0.003187898,0,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Ambrosia,0,0,0,0,0,0,0,0.02807241,0,0.004671511,0,0,0,0
f__Asteraceae_g__Arctium,0,0,0,0,0.003366018,0.003607234,0,0.001522469,0,0,0,0,0,0
f__Asteraceae_g__Aster,0,0,0,0,0,0,0,0,0,0.004607125,0.005928807,0,0,0
f__Asteraceae_g__Bidens,0,0,0,0,0,0,0,0,0,0,0.004642576,0,0,0
f__Asteraceae_g__Centaurea,0,0,0,0,0,0,0,0,0.009944255,0,0,0,0,0
f__Asteraceae_g__Cichorium,0,0,0,0.002200716,0.020920332,0,0,0,0.027987875,0.002776039,0,0,0,0
f__Asteraceae_g__Cirsium,0,0.021537087,0,0.012701525,0,0,0,0,0,0.001300313,0,0,0,0
f__Asteraceae_g__Erechtites,0,0,0,0,0,0,0,0,0,0.005897641,0,0,0,0
f__Asteraceae_g__Erigeron,0,0,0,0,0.005069984,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Eupatorium,0,0,0,0,0,0.001073484,0,0,0,0.051592113,0.020755857,0,0.002401638,0
f__Asteraceae_g__Eurybia,0,0,0,0,0,0,0,0,0.056428563,0.019888573,0.050397657,0.168283505,0.118764913,0.11161488
f__Asteraceae_g__Euthamia,0,0,0,0,0,0,0,0,0,0,0.002917607,0,0,0
f__Asteraceae_g__Helenium,0,0,0,0,0,0,0,0,0,0.022510985,0.090353008,0.011157644,0.002881965,0
f__Asteraceae_g__Helianthus,0,0,0,0,0,0,0,0,0,0.008752618,0,0.003992395,0,0
f__Asteraceae_g__Liatris,0,0,0,0,0.019477585,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Rudbeckia,0.054147114,0,0,0,0,0,0.016776107,0.001344467,0,0,0,0,0,0
f__Asteraceae_g__Solidago,0,0,0,0,0,0,0,0,0.066189784,0.092117319,0.26736027,0,0.321918973,0.29210122
f__Asteraceae_g__Symphyotrichum,0,0,0,0,0,0,0,0,0.153139021,0.010560728,0.139029515,0,0.131580247,0.193647141
f__Asteraceae_g__Taraxacum,0,0,0.015406141,0,0,0.010286395,0,0.02800557,0,0.33091852,0.024107475,0,0.005614078,0.024342426
f__Asteraceae_g__Verbesina,0,0,0,0,0,0,0,0.005596531,0,0.014449556,0,0,0,0
f__Asteraceae_g__Vernonia,0,0.003942765,0.005723677,0.044617338,0.004004694,0.007627327,0,0.018843227,0,0,0,0,0,0
f__Asteraceae_g__Zinnia,0,0,0,0,0,0,0,0,0,0.001128409,0,0,0,0
f__Balsaminaceae_g__Impatiens,0,0,0,0,0,0,0,0,0,0.006229177,0,0,0,0
f__Brassicaceae_g__Brassica,0,0.00123457,0,0.065040239,0,0.037516829,0,0.030213096,0,0,0,0,0,0
f__Caprifoliaceae_g__Dipsacus,0,0,0,0,0.006454612,0,0,0,0,0,0,0,0,0
f__Crassulaceae_g__Hylotelephium,0,0,0,0,0,0,0,0,0,0.007529727,0,0,0,0
f__Fabaceae_g__Chamaecrista,0,0,0,0,0.222057633,0.318826385,0.367821518,0.393068424,0.150672846,0.003595758,0,0,0,0
f__Fabaceae_g__Glycine,0,0.034773719,0.052785511,0.049430236,0,0,0,0,0,0,0,0,0,0
f__Fabaceae_g__Lotus,0.337662659,0.076418561,0.201182588,0.055501784,0.01359352,0,0.016081688,0.045527306,0,0.035616365,0,0.007579525,0,0
f__Fabaceae_g__Melilotus,0.031063028,0.003405865,0.009012698,0.00632977,0.00204141,0,0,0,0,0,0,0,0,0
f__Fabaceae_g__Securigera,0.003507265,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Fabaceae_g__Trifolium,0.512913044,0.78201031,0.667217702,0.667914677,0.513634309,0.494321878,0.251693922,0.310790626,0.423849736,0.324373914,0.393143836,0.650044013,0.416838186,0.359386295
f__Hydrangeaceae_g__Hydrangea,0,0,0,0,0.032928123,0.027192519,0,0.008618949,0,0,0,0,0,0
f__Hypericaceae_g__Hypericum,0,0.003082344,0,0,0,0.001817266,0.003520197,0,0,0,0,0,0,0
f__Lamiaceae_g__Lycopus,0,0,0,0,0,0,0.001528307,0,0,0,0,0,0,0
f__Lythraceae_g__Lythrum,0,0.022368957,0,0,0,0,0,0,0,0,0,0,0,0
f__Penthoraceae_g__Penthorum,0,0,0,0,0,0,0,0.026377749,0,0,0,0,0,0
f__Plantaginaceae_g__Plantago,0.02020034,0.042181139,0.013693232,0.088811008,0.0435349,0.097730682,0.031270552,0.001049115,0.11178792,0.007164638,0,0.158942918,0,0.018908038
f__Rosaceae_g__Rosa,0.019814003,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Ulmaceae_g__Ulmus,0,0,0,0,0,0,0.09434177,0,0,0,0,0,0,0
f__Vitaceae_g__Parthenocissus,0.020692546,0.009044682,0.019137041,0.003588324,0,0,0,0,0,0,0,0,0,0
