genus,2013-06-28,2013-07-05,2013-07-13,2013-07-20,2013-07-26,2013-08-02,2013-08-10,2013-08-16,2013-08-24,2013-09-01,2013-09-08,2013-09-13,2013-09-22
f__Acanthaceae_g__Justicia,0.029572449,0,0,0,0,0,0,0,0,0,0,0,0
f__Adoxaceae_g__Sambucus,0.060006614,0.052325124,0,0,0,0,0,0,0,0,0,0,0
f__Apiaceae_g__Daucus,0,0,0,0,0.00548641,0.031828208,0.045055647,0,0,0,0,0,0
f__Apocynaceae_g__Asclepias,0,0,0.002715597,0,0,0,0,0,0,0,0,0,0
f__Asphodelaceae_g__Hemerocallis,0,0.007762785,0,0,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Ageratina,0,0,0,0,0,0,0,0,0,0,0,0.016328692,0
f__Asteraceae_g__Ambrosia,0,0,0,0,0,0,0,0.056564991,0.124059247,0.050223946,0.202050715,0,0.058821571
f__Asteraceae_g__Aster,0,0,0,0,0,0,0,0,0,0,0,0.005319071,0
f__Asteraceae_g__Cichorium,0,0.019092328,0,0,0,0,0,0,0,0,0.001480953,0.008580967,0
f__Asteraceae_g__Cirsium,0.021707561,0.001459254,0.001869843,0,0,0,0,0,0,0.003824571,0,0,0
f__Asteraceae_g__Echinacea,0,0.002213249,0.031661248,0.084543851,0.041605978,0.03211394,0,0,0,0,0,0,0
f__Asteraceae_g__Eupatorium,0,0,0,0,0,0,0,0,0.004549209,0,0.006844894,0,0
f__Asteraceae_g__Eurybia,0,0,0,0,0,0,0,0,0,0,0,0.002427047,0.068630944
f__Asteraceae_g__Helianthus,0,0,0,0,0,0,0,0,0,0,0.002452914,0,0.017133634
f__Asteraceae_g__Mikania,0,0,0,0,0,0,0,0,0.105894664,0,0.096135274,0,0
f__Asteraceae_g__Ratibida,0,0,0,0,0,0,0,0,0.004713447,0,0,0,0
f__Asteraceae_g__Rudbeckia,0,0,0,0,0,0,0,0,0.002823647,0.006216979,0.003481823,0,0
f__Asteraceae_g__Solidago,0,0,0,0,0,0,0,0,0.012706877,0.02212402,0.087257986,0.293942376,0.229436934
f__Asteraceae_g__Symphyotrichum,0,0,0,0,0,0,0,0,0.005037512,0,0.022843613,0.016992827,0.076022705
f__Asteraceae_g__Taraxacum,0,0,0,0,0,0,0,0,0.001994601,0,0.002157208,0,0
f__Asteraceae_g__Verbesina,0,0,0,0,0,0,0,0.010954746,0.03226878,0.053749053,0.020941917,0,0
f__Asteraceae_g__Vernonia,0,0,0,0,0,0,0,0,0,0.01719661,0,0,0
f__Balsaminaceae_g__Impatiens,0,0,0,0,0,0,0,0,0,0,0.003475753,0,0
f__Brassicaceae_g__Brassica,0.010788585,0.434778588,0.091945021,0.17685269,0.012520821,0.004870907,0,0,0,0.001776828,0.001078604,0,0.030778055
f__Chenopodiaceae_g__Atriplex,0,0,0,0,0,0,0,0,0,0,0.002967975,0.041270495,0
f__Chenopodiaceae_g__Chenopodium,0,0,0,0,0,0,0,0,0,0,0.032594215,0.178129033,0
f__Convolvulaceae_g__Convolvulus,0,0.004019485,0,0,0,0,0,0,0.001294465,0,0,0,0
f__Cornaceae_g__Cornus,0.010114298,0,0,0,0,0,0,0,0,0,0,0,0
f__Cucurbitaceae_g__Sicyos,0,0,0,0,0,0,0,0,0.004607805,0,0.00296636,0,0
f__Fabaceae_g__Chamaecrista,0,0,0,0.007556565,0.345633795,0.36852273,0.588836686,0.537789288,0.289081454,0,0,0,0
f__Fabaceae_g__Desmodium,0,0,0,0,0.002616838,0.02880303,0.013207003,0.003060756,0,0,0,0,0
f__Fabaceae_g__Glycine,0.154039498,0.021611634,0.283416325,0.246129706,0.016902287,0.013214426,0,0,0,0,0,0,0
f__Fabaceae_g__Lotus,0.192227969,0.006245926,0.050668451,0,0.053204968,0,0,0,0,0,0,0,0
f__Fabaceae_g__Medicago,0,0,0,0,0,0,0,0,0,0,0.001721112,0,0
f__Fabaceae_g__Melilotus,0.003072315,0.002425796,0.045270709,0.014531856,0.001726578,0.032828762,0,0,0,0.001603536,0,0,0
f__Fabaceae_g__Securigera,0.004356072,0,0.023278381,0,0,0,0,0,0,0,0,0,0
f__Fabaceae_g__Trifolium,0.29391243,0.236292711,0.338993558,0.346493276,0.470412671,0.466816681,0.316968078,0.360837282,0.173811163,0.729832185,0.39001022,0.316864487,0.277791915
f__Hydrangeaceae_g__Hydrangea,0,0,0,0,0,0,0,0,0.001359433,0,0,0,0
f__Malvaceae_g__Abutilon,0,0,0,0,0,0,0,0,0,0,0.023400759,0.059436766,0.07925802
f__Moraceae_g__Maclura,0,0.012996099,0.026394748,0,0,0,0,0,0,0,0,0,0
f__Plantaginaceae_g__Plantago,0,0.170467275,0.016772927,0,0.017572412,0.021001315,0.035932586,0.024358851,0.20327583,0.036680231,0.030702386,0,0
f__Plantaginaceae_g__Veronica,0,0,0,0,0,0,0,0.005850687,0,0,0,0,0
f__Poaceae_g__Andropogon,0,0,0,0,0,0,0,0,0.02643691,0,0,0,0
f__Poaceae_g__Lolium,0,0.006311623,0,0,0,0,0,0,0,0,0,0,0
f__Poaceae_g__Zea,0,0,0,0.122219329,0.032317243,0,0,0,0,0,0,0,0
f__Polygonaceae_g__Persicaria,0,0,0,0,0,0,0,0,0.001649639,0.07677204,0.06543532,0.060708239,0.162126222
f__Rosaceae_g__Geum,0.005692037,0,0,0,0,0,0,0,0,0,0,0,0
f__Rosaceae_g__Rosa,0.175846471,0.021998124,0,0,0,0,0,0,0,0,0,0,0
