genus,2013-06-28,2013-07-05,2013-07-13,2013-07-21,2013-07-26,2013-08-02,2013-08-10,2013-08-15,2013-08-24,2013-09-01,2013-09-08,2013-09-14,2013-09-22
f__Acanthaceae_g__Justicia,0.022797478,0,0,0,0,0,0,0,0,0,0,0,0
f__Adoxaceae_g__Viburnum,0,0,0,0,0,0,0,0,0.004071523,0,0,0,0
f__Anacardiaceae_g__Cotinus,0,0,0,0,0,0,0,0,0,0.044767448,0,0.002518885,0
f__Anacardiaceae_g__Rhus,0,0,0,0,0,0,0,0,0,0.088958389,0.164854267,0.012225763,0
f__Anacardiaceae_g__Toxicodendron,0,0,0,0,0,0,0,0,0,0.01992024,0,0.001231577,0
f__Araliaceae_g__Aralia,0,0,0,0,0,0,0,0,0.035517756,0.030240386,0,0.151162943,0.050549115
f__Araliaceae_g__Eleutherococcus,0,0,0,0,0,0,0,0.002682771,0.02642593,0.025308415,0,0.043640261,0.044629653
f__Araliaceae_g__Hedera,0,0,0,0,0,0.016264013,0,0.004375684,0.097817283,0.08344394,0.221691173,0.424784545,0.135434975
f__Asphodelaceae_g__Hemerocallis,0,0,0.004066416,0,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Ageratina,0,0,0,0,0,0,0,0,0,0,0,0.090703847,0.083886501
f__Asteraceae_g__Ageratum,0,0,0,0,0,0,0,0,0.007778303,0,0,0,0
f__Asteraceae_g__Ambrosia,0,0,0,0,0,0,0,0.019553498,0.06526877,0.072118415,0,0,0
f__Asteraceae_g__Arctium,0,0,0.006450549,0.012391616,0.004851142,0.023095764,0.013578123,0.001778153,0.001355931,0,0,0,0
f__Asteraceae_g__Artemisia,0,0,0,0,0,0,0,0.002136113,0,0,0,0,0
f__Asteraceae_g__Aster,0,0,0,0,0,0,0,0,0,0,0.001372083,0,0.00383611
f__Asteraceae_g__Carduus,0,0,0,0,0,0,0.003164545,0,0,0,0,0,0
f__Asteraceae_g__Centaurea,0,0,0.024858213,0.020102713,0.001471211,0.001595928,0,0,0,0,0,0,0
f__Asteraceae_g__Cichorium,0,0,0,0.003082761,0.004413634,0.013968007,0.016615594,0.121011385,0.001034764,0.014308651,0,0,0.001038097
f__Asteraceae_g__Cirsium,0,0,0,0.002422133,0.021399438,0.007688263,0.027156246,0.004344314,0.008631124,0.001788581,0,0,0.001046876
f__Asteraceae_g__Coreopsis,0,0,0,0,0,0,0,0.001923569,0.002739531,0,0,0,0
f__Asteraceae_g__Erechtites,0,0,0,0,0,0,0,0,0,0.004843715,0.010603094,0.017586866,0
f__Asteraceae_g__Eupatorium,0,0,0,0,0,0,0.004258831,0,0.0043676,0.074413211,0.047894764,0.045414245,0.011873289
f__Asteraceae_g__Eurybia,0,0,0,0,0,0,0,0,0,0,0,0.016520048,0.072071157
f__Asteraceae_g__Eutrochium,0,0,0,0,0,0.007070903,0,0,0,0,0,0,0
f__Asteraceae_g__Helianthus,0,0,0,0,0,0,0,0.002483807,0,0,0,0,0
f__Asteraceae_g__Hypochaeris,0,0,0,0,0,0,0,0,0,0,0.001171591,0,0
f__Asteraceae_g__Mikania,0,0,0,0,0,0,0,0,0,0,0.017496527,0,0
f__Asteraceae_g__Rudbeckia,0,0,0,0,0,0.002378513,0,0.001188051,0,0,0,0,0
f__Asteraceae_g__Senecio,0,0,0,0,0,0,0,0,0,0,0.004229157,0.007794551,0
f__Asteraceae_g__Silphium,0,0,0,0,0,0.001535248,0,0.004739091,0,0.026816313,0,0,0
f__Asteraceae_g__Solidago,0,0,0,0,0,0,0,0,0,0,0.005619422,0.012908035,0.250796388
