genus,2014-07-02,2014-07-09,2014-07-15,2014-07-23,2014-07-31,2014-08-07,2014-08-15,2014-08-21,2014-08-28,2014-09-04,2014-09-12,2014-09-19,2014-09-26,2014-10-02
f__Amaryllidaceae_g__Allium,0,0,0,0,0,0,0,0,0,0.002684875,0,0,0,0
f__Anacardiaceae_g__Cotinus,0,0,0,0,0,0,0,0,0,0.080824855,0.088544001,0.053782771,0,0.100700828
f__Anacardiaceae_g__Rhus,0,0,0,0,0.004164155,0,0,0,0,0.102267614,0.133279663,0.144716299,0,0.154907069
f__Anacardiaceae_g__Toxicodendron,0,0,0,0,0,0,0,0,0,0.043149332,0.04553688,0.021326914,0,0.037999423
f__Araliaceae_g__Aralia,0,0,0,0,0,0,0,0,0,0.020625346,0.057500387,0.002777101,0,0
f__Araliaceae_g__Eleutherococcus,0,0,0,0,0,0,0,0,0,0.026414561,0.057142723,0.002823394,0,0
f__Araliaceae_g__Hedera,0,0,0,0,0,0,0,0.021478304,0.205946531,0.051490711,0.224784104,0.008547685,0.026203029,0.001221019
f__Asteraceae_g__Ageratina,0,0,0,0,0,0,0,0,0,0.002193513,0.035589576,0,0,0
f__Asteraceae_g__Ambrosia,0,0,0,0,0,0,0,0,0,0,0.001194323,0,0,0
f__Asteraceae_g__Arctium,0,0,0.004570244,0.00742322,0.061236777,0,0.001319942,0.001378191,0,0,0,0,0,0
f__Asteraceae_g__Aster,0,0,0,0,0,0,0,0,0,0,0.001716226,0.005220021,0,0.001341007
f__Asteraceae_g__Boltonia,0,0,0,0,0,0,0,0,0,0,0,0.002178357,0,0
f__Asteraceae_g__Centaurea,0.011551223,0,0,0,0.002475495,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Cichorium,0,0,0.035177766,0,0.006764946,0.093606272,0.027185055,0.029198561,0,0.002289851,0.028556802,0,0,0
f__Asteraceae_g__Cirsium,0,0,0,0,0.003023921,0.005726836,0,0.001903216,0,0,0,0,0,0.001050271
f__Asteraceae_g__Coreopsis,0,0,0,0,0,0,0.00495437,0,0,0,0,0,0,0
f__Asteraceae_g__Echinacea,0,0,0,0,0,0,0,0,0,0,0.005093406,0,0,0
f__Asteraceae_g__Erechtites,0,0,0,0,0,0,0,0,0,0.028789857,0.002488363,0,0,0
f__Asteraceae_g__Eupatorium,0,0,0,0,0,0,0,0,0,0.103903251,0.03518659,0.049716252,0.104708433,0.06224336
f__Asteraceae_g__Eurybia,0,0,0,0,0,0,0,0,0,0,0,0.050623948,0,0.094844863
f__Asteraceae_g__Eutrochium,0,0,0.005457103,0,0.010176752,0,0,0,0,0,0,0,0,0
f__Asteraceae_g__Gaillardia,0,0,0,0,0,0,0,0,0,0,0.01134002,0,0,0
f__Asteraceae_g__Helenium,0,0,0,0,0,0,0,0,0,0.010571251,0,0,0,0
f__Asteraceae_g__Helianthus,0,0,0,0,0,0.00225461,0,0,0,0,0,0,0,0
f__Asteraceae_g__Lactuca,0,0,0,0,0,0.013200857,0,0,0,0,0,0,0,0
f__Asteraceae_g__Solidago,0,0,0,0,0,0,0,0,0,0.005404076,0.018042658,0.158312891,0,0.054312554
f__Asteraceae_g__Symphyotrichum,0,0,0,0,0,0,0,0,0,0,0.005438623,0.041337262,0,0.074971154
f__Asteraceae_g__Taraxacum,0,0,0.001662949,0,0.001750691,0.0644164,0,0,0,0,0,0.007439049,0.008492836,0.002073337
f__Asteraceae_g__Verbesina,0,0,0,0,0,0,0,0,0,0.003700324,0,0,0,0
f__Asteraceae_g__Vernonia,0,0,0,0,0,0,0.043988378,0,0,0,0,0,0,0
f__Balsaminaceae_g__Impatiens,0,0,0,0,0,0,0,0,0,0,0,0.004931749,0,0
f__Brassicaceae_g__Brassica,0.002553103,0,0,0.022349249,0.107869993,0.055325322,0.008449139,0,0,0,0,0,0,0
f__Butomaceae_g__Butomus,0,0,0,0,0,0.003631365,0,0,0,0,0,0,0,0
f__Caprifoliaceae_g__Dipsacus,0,0,0,0,0.002086223,0,0.00563276,0,0,0,0,0,0,0
f__Chenopodiaceae_g__Chenopodium,0,0,0,0,0,0,0,0,0,0,0,0.009980018,0,0
f__Cleomaceae_g__Tarenaya,0,0,0,0.009080398,0.041126231,0.022866973,0.005908387,0.124603994,0.035001335,0,0,0.025312157,0,0.045595351
f__Convolvulaceae_g__Convolvulus,0,0,0,0,0.002147472,0,0,0,0,0,0,0,0,0
f__Fabaceae_g__Chamaecrista,0,0,0,0,0,0,0.003859511,0,0,0,0,0,0,0
f__Fabaceae_g__Lotus,0.376880093,0.103922425,0.043504202,0.054699185,0.034019758,0.008343914,0,0.037455776,0,0.013377278,0.03022754,0.004437228,0,0
f__Fabaceae_g__Melilotus,0.001531862,0.089197279,0.114158856,0.046039801,0.004540603,0.001230061,0,0,0,0,0,0,0.006612425,0
f__Fabaceae_g__Securigera,0.301775755,0.127177812,0.175395565,0.124071906,0.064861735,0,0,0,0,0,0,0,0.002771918,0
f__Fabaceae_g__Styphnolobium,0,0,0,0,0.007581546,0,0.014656819,0.009271468,0,0,0,0,0,0
f__Fabaceae_g__Trifolium,0.240224405,0.510412458,0.448792766,0.420384059,0.348864997,0.596397484,0.580588816,0.33735256,0.439650564,0.357163315,0.192840462,0.269593122,0.136893893,0.218760708
f__Fagaceae_g__Quercus,0,0,0,0,0,0,0,0,0,0,0,0,0.142902635,0
f__Hydrangeaceae_g__Hydrangea,0.029445789,0.052265424,0.038020539,0.12405373,0.213531045,0.047835694,0.168982786,0.131077316,0.040078127,0.034198866,0.007433212,0.009237827,0,0
f__Lamiaceae_g__Salvia,0,0,0,0,0,0.003616847,0,0.007284725,0,0.002766401,0,0.00130375,0,0.006133267
f__Lythraceae_g__Lythrum,0,0.066569862,0.125374784,0.119367071,0.011051546,0.008506153,0,0,0,0,0,0,0,0
f__Magnoliaceae_g__Magnolia,0.030758021,0,0,0,0.005680719,0,0,0,0,0,0,0,0,0
f__Onagraceae_g__Oenothera,0,0,0,0,0,0,0,0.003305272,0,0,0,0,0,0
f__Phytolaccaceae_g__Phytolacca,0,0.013637304,0.007885226,0.014551328,0.036452939,0.009558691,0.016825611,0.010900239,0,0.017045994,0.003058663,0.002389023,0,0
f__Plantaginaceae_g__Plantago,0.002493303,0.029863226,0,0.056509382,0.024591425,0.040318656,0.104206051,0.256826819,0.141561796,0.05733046,0,0,0,0.002577363
f__Platanaceae_g__Platanus,0,0,0,0,0,0,0,0,0.039335685,0,0,0,0,0
f__Ranunculaceae_g__Anemone,0,0,0,0,0,0,0,0,0.05298586,0,0.005057519,0,0.037423212,0
f__Ranunculaceae_g__Clematis,0,0,0,0,0,0,0,0,0,0.033808268,0,0,0,0
f__Rosaceae_g__Rosa,0,0,0,0,0,0,0,0,0.045440103,0,0.006839289,0.001977923,0.001356085,0.035181495
f__Rosaceae_g__Spiraea,0,0.003651334,0,0,0,0,0,0,0,0,0,0,0,0
f__Rutaceae_g__Phellodendron,0,0,0,0,0.006001032,0,0,0,0,0,0,0,0,0
f__Scrophulariaceae_g__Buddleja,0,0,0,0,0,0.001366734,0,0,0,0,0,0,0,0
f__Solanaceae_g__Lycium,0,0,0,0,0,0,0,0,0,0,0,0,0.00972003,0
f__Ulmaceae_g__Ulmus,0,0,0,0,0,0,0.013442375,0.027963558,0,0,0,0.121367314,0.522915506,0.106086932
f__Verbenaceae_g__Verbena,0,0,0,0,0,0.021797132,0,0,0,0,0,0,0,0
f__Vitaceae_g__Parthenocissus,0.002786445,0.003302876,0,0,0,0,0,0,0,0,0,0,0,0
