date,f__Adoxaceae_g__Sambucus,f__Adoxaceae_g__Viburnum,f__Amaranthaceae_g__Amaranthus,f__Amaryllidaceae_g__Allium,f__Anacardiaceae_g__Rhus,f__Apiaceae_g__Foeniculum,f__Araliaceae_g__Aralia,f__Araliaceae_g__Hedera,f__Asteraceae_g__Ageratina,f__Asteraceae_g__Ageratum,f__Asteraceae_g__Ambrosia,f__Asteraceae_g__Arctium,f__Asteraceae_g__Bidens,f__Asteraceae_g__Calendula,f__Asteraceae_g__Carduus,f__Asteraceae_g__Centaurea,f__Asteraceae_g__Cichorium,f__Asteraceae_g__Cirsium,f__Asteraceae_g__Conoclinium,f__Asteraceae_g__Coreopsis,f__Asteraceae_g__Cosmos,f__Asteraceae_g__Echinacea,f__Asteraceae_g__Erechtites,f__Asteraceae_g__Eupatorium,f__Asteraceae_g__Eurybia,f__Asteraceae_g__Eutrochium,f__Asteraceae_g__Gaillardia,f__Asteraceae_g__Helianthus,f__Asteraceae_g__Heliopsis,f__Asteraceae_g__Iva,f__Asteraceae_g__Lactuca,f__Asteraceae_g__Leontodon,f__Asteraceae_g__Leucanthemum,f__Asteraceae_g__Liatris,f__Asteraceae_g__Rudbeckia,f__Asteraceae_g__Silphium,f__Asteraceae_g__Solidago,f__Asteraceae_g__Symphyotrichum,f__Asteraceae_g__Tagetes,f__Asteraceae_g__Taraxacum,f__Asteraceae_g__Verbesina,f__Asteraceae_g__Vernonia,f__Asteraceae_g__Zinnia,f__Balsaminaceae_g__Impatiens,f__Bignoniaceae_g__Campsis,f__Boraginaceae_g__Cynoglossum,f__Brassicaceae_g__Barbarea,f__Brassicaceae_g__Brassica,f__Brassicaceae_g__Capsella,f__Brassicaceae_g__Erysimum,f__Brassicaceae_g__Lobularia,f__Brassicaceae_g__Raphanus,f__Cannabaceae_g__Humulus,f__Chenopodiaceae_g__Bassia,f__Cleomaceae_g__Tarenaya,f__Crassulaceae_g__Hylotelephium,f__Cucurbitaceae_g__Cucumis,f__Euphorbiaceae_g__Euphorbia,f__Fabaceae_g__Glycine,f__Fabaceae_g__Lotus,f__Fabaceae_g__Melilotus,f__Fabaceae_g__Securigera,f__Fabaceae_g__Styphnolobium,f__Fabaceae_g__Trifolium,f__Fagaceae_g__Quercus,f__Hydrangeaceae_g__Hydrangea,f__Lamiaceae_g__Nepeta,f__Lamiaceae_g__Perilla,f__Lamiaceae_g__Salvia,f__Lamiaceae_g__Thymus,f__Lythraceae_g__Lagerstroemia,f__Lythraceae_g__Lythrum,f__Malvaceae_g__Sida,f__Oleaceae_g__Ligustrum,f__Papaveraceae_g__Eschscholzia,f__Papaveraceae_g__Macleaya,f__Papaveraceae_g__Papaver,f__Phytolaccaceae_g__Phytolacca,f__Plantaginaceae_g__Antirrhinum,f__Plantaginaceae_g__Plantago,f__Polygonaceae_g__Fagopyrum,f__Polygonaceae_g__Fallopia,f__Polygonaceae_g__Persicaria,f__Polygonaceae_g__Polygonum,f__Polygonaceae_g__Reynoutria,f__Ranunculaceae_g__Anemone,f__Ranunculaceae_g__Clematis,f__Rosaceae_g__Potentilla,f__Rosaceae_g__Rosa,f__Rosaceae_g__Rubus,f__Sapindaceae_g__Koelreuteria,f__Saururaceae_g__Saururus,f__Scrophulariaceae_g__Buddleja,f__Solanaceae_g__Solanum,f__Ulmaceae_g__Ulmus,f__Verbenaceae_g__Phyla,f__Vitaceae_g__Parthenocissus
2013-06-28,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004666667,0,0,0,0.47,0,0.506333333,0,0,0,0,0,0,0,0.005333333,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-06,0.031,0,0,0.025666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001666667,0,0.005,0,0.029666667,0,0,0,0,0,0,0,0,0,0,0,0,0.009333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001333333,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502666667,0,0.218,0,0,0,0,0,0.005,0,0.003333333,0,0,0.064,0.008,0,0.029,0.001,0,0,0,0,0,0,0,0,0,0.010333333,0.001,0,0,0,0,0.047
2013-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006333333,0,0,0,0.001,0.002333333,0.209,0,0,0,0,0.001333333,0,0,0,0,0,0,0.04,0,0,0,0,0,0.003333333,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003666667,0,0,0.393666667,0,0.065666667,0.003,0,0,0.001,0,0.041666667,0,0,0,0,0,0.025333333,0,0.027666667,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0.165666667
2013-07-21,0,0,0,0.002666667,0,0,0,0,0,0,0,0.003,0,0,0,0.007333333,0.016,0.002,0,0.009,0,0.072666667,0,0,0,0.020666667,0,0.034333333,0.001666667,0,0,0,0,0.117333333,0,0.003,0,0,0,0,0,0,0.002333333,0,0.011666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078666667,0.001333333,0,0.333333333,0,0,0.002333333,0,0,0,0.001,0,0,0,0,0.029333333,0,0.032666667,0,0.181666667,0,0,0,0,0,0,0,0,0.005666667,0,0,0,0.022333333,0,0,0.001333333,0
2013-07-26,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0.006333333,0,0,0,0,0.201666667,0,0,0,0.003333333,0.001666667,0.002,0,0,0,0,0.003333333,0.176333333,0.001666667,0.001,0,0,0,0,0,0,0.005333333,0,0,0,0,0,0,0,0,0.018,0,0.001333333,0,0,0.008333333,0,0,0,0,0.001,0,0.436666667,0,0.013333333,0,0,0,0,0,0.078,0,0,0,0,0,0.002666667,0,0.004333333,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
2013-08-02,0,0.012666667,0,0,0,0,0,0,0,0,0,0.001666667,0,0,0,0.001,0.034666667,0,0,0.001,0,0.015333333,0,0,0,0.004666667,0,0.111,0.006,0,0,0,0,0.044666667,0.001666667,0.013666667,0,0,0,0.001,0,0,0.001333333,0,0.041333333,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.007,0,0.079666667,0.255666667,0,0.127666667,0,0,0,0,0,0.013,0,0,0,0.021666667,0,0.011333333,0,0.140333333,0,0,0,0,0,0,0,0,0.007333333,0,0,0,0.04,0,0,0,0
2013-08-10,0,0,0.002,0.001,0,0,0.006,0,0,0,0,0.030333333,0,0,0,0,0,0.001333333,0,0.001666667,0.001333333,0.029,0,0,0,0.021,0.001666667,0.012,0.005,0,0.001,0.003666667,0.025666667,0.018333333,0.009333333,0.012,0,0,0,0.026666667,0,0.001666667,0.028666667,0,0.002666667,0,0,0.032333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323333333,0,0.222666667,0,0,0,0,0.007666667,0.016333333,0,0,0.001333333,0,0,0.005333333,0,0.141333333,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0
2013-08-16,0,0.018333333,0.001333333,0.015666667,0,0,0,0.020666667,0,0,0.005333333,0.001666667,0,0,0,0,0.01,0.001333333,0.001333333,0,0.023,0.004666667,0,0,0,0.035333333,0,0.108333333,0.008666667,0,0,0.002666667,0,0.007666667,0.040333333,0.018666667,0,0,0.001666667,0.002,0,0.005333333,0.01,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0.002333333,0.003666667,0,0,0,0,0,0.162,0,0.200333333,0,0,0,0,0,0.008333333,0.001333333,0,0,0,0,0.002333333,0.006666667,0.148,0,0,0,0,0,0.031666667,0,0,0.016333333,0,0,0,0.035333333,0,0,0,0
2013-08-24,0,0,0.003666667,0.01,0,0,0,0.199666667,0,0,0.024666667,0.004333333,0,0,0,0,0,0,0,0,0.001666667,0,0,0.002,0,0.001333333,0,0.012666667,0.022333333,0,0.004333333,0,0,0,0,0.068333333,0,0,0,0.002666667,0.008666667,0.001,0.005333333,0.013,0.003666667,0,0,0,0,0,0.042666667,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.013666667,0,0,0,0,0,0.001666667,0.041333333,0,0,0,0,0,0.006333333,0,0.075666667,0,0
2013-09-01,0,0.017666667,0,0.082,0,0,0,0.114333333,0.002333333,0.002666667,0.057666667,0,0,0,0,0,0,0,0.010333333,0.001,0.002333333,0,0,0.001,0,0.002,0,0.002,0.020333333,0.001333333,0,0,0,0,0.001666667,0.043333333,0.006666667,0.001666667,0,0.001,0.003333333,0,0,0.036,0,0.002,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0.158333333,0,0.093333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009666667,0,0,0,0,0,0.006666667,0.237666667,0,0.006333333,0,0,0,0.001,0,0.067666667,0,0
