date,f__Amaranthaceae_g__Amaranthus,f__Amaranthaceae_g__Celosia,f__Amaryllidaceae_g__Allium,f__Anacardiaceae_g__Rhus,f__Apiaceae_g__Daucus,f__Apiaceae_g__Eryngium,f__Apiaceae_g__Foeniculum,f__Araliaceae_g__Hedera,f__Asteraceae_g__Ageratina,f__Asteraceae_g__Ambrosia,f__Asteraceae_g__Arctium,f__Asteraceae_g__Bidens,f__Asteraceae_g__Centaurea,f__Asteraceae_g__Cichorium,f__Asteraceae_g__Cirsium,f__Asteraceae_g__Echinacea,f__Asteraceae_g__Erechtites,f__Asteraceae_g__Erigeron,f__Asteraceae_g__Eupatorium,f__Asteraceae_g__Eurybia,f__Asteraceae_g__Euthamia,f__Asteraceae_g__Eutrochium,f__Asteraceae_g__Gaillardia,f__Asteraceae_g__Helenium,f__Asteraceae_g__Helianthus,f__Asteraceae_g__Heliopsis,f__Asteraceae_g__Lactuca,f__Asteraceae_g__Liatris,f__Asteraceae_g__Ratibida,f__Asteraceae_g__Rudbeckia,f__Asteraceae_g__Senecio,f__Asteraceae_g__Silphium,f__Asteraceae_g__Solidago,f__Asteraceae_g__Symphyotrichum,f__Asteraceae_g__Taraxacum,f__Asteraceae_g__Verbesina,f__Asteraceae_g__Vernonia,f__Asteraceae_g__Xanthium,f__Asteraceae_g__Zinnia,f__Balsaminaceae_g__Impatiens,f__Bignoniaceae_g__Campsis,f__Brassicaceae_g__Brassica,f__Caprifoliaceae_g__Dipsacus,f__Caprifoliaceae_g__Lonicera,f__Chenopodiaceae_g__Atriplex,f__Chenopodiaceae_g__Chenopodium,f__Cleomaceae_g__Tarenaya,f__Cyperaceae_g__Carex,f__Fabaceae_g__Chamaecrista,f__Fabaceae_g__Glycine,f__Fabaceae_g__Lotus,f__Fabaceae_g__Medicago,f__Fabaceae_g__Melilotus,f__Fabaceae_g__Securigera,f__Fabaceae_g__Styphnolobium,f__Fabaceae_g__Trifolium,f__Hydrangeaceae_g__Hydrangea,f__Hypericaceae_g__Hypericum,f__Iridaceae_g__Iris,f__Lamiaceae_g__Lycopus,f__Lamiaceae_g__Nepeta,f__Lamiaceae_g__Salvia,f__Lythraceae_g__Lagerstroemia,f__Lythraceae_g__Lythrum,f__Malvaceae_g__Abutilon,f__Malvaceae_g__Tilia,f__Oleaceae_g__Ligustrum,f__Onagraceae_g__Oenothera,f__Phytolaccaceae_g__Phytolacca,f__Plantaginaceae_g__Plantago,f__Poaceae_g__Zea,f__Polygonaceae_g__Fallopia,f__Polygonaceae_g__Persicaria,f__Polygonaceae_g__Rumex,f__Portulacaceae_g__Portulaca,f__Ranunculaceae_g__Anemone,f__Ranunculaceae_g__Clematis,f__Rosaceae_g__Dasiphora,f__Rosaceae_g__Rosa,f__Rosaceae_g__Rubus,f__Sapindaceae_g__Koelreuteria,f__Saxifragaceae_g__Heuchera,f__Scrophulariaceae_g__Buddleja,f__Scrophulariaceae_g__Verbascum,f__Solanaceae_g__Datura,f__Solanaceae_g__Lycium,f__Solanaceae_g__Nicotiana,f__Solanaceae_g__Petunia,f__Solanaceae_g__Solanum,f__Ulmaceae_g__Ulmus,f__Vitaceae_g__Parthenocissus
2013-06-28,0,0,0.010666667,0,0,0,0,0,0,0,0,0,0,0.002666667,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,0.180666667,0,0,0.157666667,0,0.009333333,0,0,0.005333333,0,0,0.002666667,0,0.001,0.174,0,0,0.178333333,0,0,0,0,0,0,0,0,0.048,0,0.069666667,0,0,0,0,0,0,0,0,0,0.008333333
2013-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011333333,0.013,0.008666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0.001,0,0.004333333,0.226666667,0,0.091333333,0.029666667,0,0.175333333,0,0.027666667,0,0,0.002333333,0,0,0.030333333,0,0,0.049666667,0,0,0.118666667,0,0,0,0,0.001,0,0,0,0,0,0.042,0,0,0.019666667,0,0,0,0,0,0,0.094666667
2013-07-13,0,0,0,0,0.002333333,0,0,0,0,0,0.005,0,0.007333333,0.033,0.018,0.018333333,0,0,0,0,0,0,0,0,0,0,0.012333333,0,0.007333333,0,0,0,0,0,0,0,0.002,0,0,0,0.009,0.013666667,0.11,0,0,0,0,0.001333333,0,0.163666667,0.174666667,0,0.017333333,0.005333333,0,0.254666667,0.054333333,0,0,0,0,0,0.005666667,0,0,0,0,0,0,0.011666667,0,0,0,0.001,0,0,0,0,0.022666667,0,0,0,0.04,0.001,0,0.001666667,0.002666667,0,0,0,0
2013-07-20,0,0,0,0,0,0,0,0,0,0.007666667,0,0,0,0,0,0,0,0,0,0.057333333,0,0,0,0,0.035333333,0,0,0,0,0,0,0,0.269,0.068,0,0,0,0,0,0,0.004666667,0.020333333,0,0,0.001,0.047666667,0,0.016666667,0,0,0,0,0.001,0,0,0.259666667,0,0,0,0,0,0,0,0,0.054333333,0,0,0,0,0,0,0,0.154333333,0.002333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-26,0,0,0,0,0.002333333,0,0,0,0,0,0.007333333,0,0.006333333,0.035666667,0.024333333,0.015,0,0,0,0,0,0,0,0,0,0,0.017333333,0,0.007333333,0,0,0,0,0,0,0,0.005,0,0,0,0.004666667,0.014666667,0.107,0,0,0,0,0.002,0,0.179666667,0.186,0,0.013666667,0.005333333,0,0.235,0.048,0,0,0,0,0,0.004666667,0,0,0,0,0,0,0.010666667,0,0,0,0,0,0,0,0,0.020333333,0,0,0,0.034666667,0.003,0,0.001,0.006,0,0,0,0
2013-08-02,0,0,0,0,0.082333333,0,0,0,0,0,0.002333333,0,0,0.1,0.038333333,0,0,0,0,0,0,0.001333333,0.006333333,0,0.035666667,0,0.003666667,0.036,0.004333333,0,0,0,0,0,0,0,0,0,0.011333333,0,0.012333333,0.002333333,0,0,0,0,0,0,0,0,0.115,0.004333333,0.014666667,0.025666667,0,0.137666667,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.192333333,0.001666667,0,0,0.004,0,0,0,0,0.013,0,0,0,0.144,0,0,0.001333333,0,0,0,0,0
2013-08-10,0,0,0,0,0.065666667,0,0,0,0,0.068333333,0,0,0,0.046333333,0.004,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.003,0,0,0,0.026666667,0,0,0,0,0.005333333,0,0.006,0,0,0,0,0,0.279666667,0.048666667,0,0,0,0,0,0.002,0.037333333,0,0,0,0,0,0.075666667,0,0,0,0.017,0,0.035333333,0,0,0,0,0,0,0.053333333,0,0,0,0,0,0,0.214333333,0
2013-08-15,0.001333333,0,0,0.069666667,0.002333333,0,0,0.124333333,0.005,0.106666667,0,0,0,0.022333333,0,0.002666667,0.001333333,0,0.090666667,0,0,0.001,0,0.002,0.008333333,0.001,0,0.003,0,0,0,0.002666667,0.008333333,0.003,0,0.013333333,0,0.001666667,0,0.013666667,0.002,0.001333333,0,0,0,0.005666667,0,0,0,0,0.002666667,0,0.003666667,0.003,0.011333333,0.227666667,0.025333333,0,0,0,0,0,0,0,0,0,0,0.002333333,0.007333333,0.037333333,0,0,0,0,0,0.017333333,0.031333333,0,0.002666667,0,0,0,0.001333333,0,0,0,0,0,0,0.127,0
2013-08-24,0,0,0,0,0.056333333,0,0,0.001,0,0.139666667,0,0,0,0.024333333,0.001,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001666667,0.004,0,0,0,0,0.002666667,0,0,0.002666667,0.104,0,0,0,0,0,0,0.234666667,0.002,0,0,0,0,0,0.001333333,0,0,0,0,0.002333333,0,0.188666667,0,0,0,0.005,0,0,0.009666667,0.001,0.001333333,0,0,0,0,0,0,0,0,0,0,0.192666667,0
2013-09-01,0.001,0,0,0.078,0,0,0,0.199,0.005666667,0.148,0,0,0,0.004,0.001,0,0.001333333,0,0.130333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003666667,0,0.001,0,0.065,0,0,0,0,0,0.001333333,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.002333333,0.04,0,0,0,0,0,0,0,0,0.002666667,0,0,0,0,0,0,0,0,0,0,0.003666667,0
