date,f__Acanthaceae_g__Justicia,f__Adoxaceae_g__Sambucus,f__Amaranthaceae_g__Amaranthus,f__Anacardiaceae_g__Rhus,f__Apiaceae_g__Conium,f__Apiaceae_g__Daucus,f__Apiaceae_g__Pastinaca,f__Apiaceae_g__Torilis,f__Araliaceae_g__Hedera,f__Asteraceae_g__Ageratina,f__Asteraceae_g__Ambrosia,f__Asteraceae_g__Arctium,f__Asteraceae_g__Cichorium,f__Asteraceae_g__Cirsium,f__Asteraceae_g__Echinacea,f__Asteraceae_g__Erechtites,f__Asteraceae_g__Erigeron,f__Asteraceae_g__Eupatorium,f__Asteraceae_g__Eurybia,f__Asteraceae_g__Helenium,f__Asteraceae_g__Helianthus,f__Asteraceae_g__Lactuca,f__Asteraceae_g__Rudbeckia,f__Asteraceae_g__Solidago,f__Asteraceae_g__Symphyotrichum,f__Asteraceae_g__Taraxacum,f__Asteraceae_g__Verbesina,f__Asteraceae_g__Vernonia,f__Asteraceae_g__Xanthium,f__Balsaminaceae_g__Impatiens,f__Bignoniaceae_g__Campsis,f__Brassicaceae_g__Brassica,f__Caprifoliaceae_g__Dipsacus,f__Chenopodiaceae_g__Atriplex,f__Chenopodiaceae_g__Chenopodium,f__Convolvulaceae_g__Convolvulus,f__Cornaceae_g__Cornus,f__Cucurbitaceae_g__Sicyos,f__Cyperaceae_g__Carex,f__Fabaceae_g__Chamaecrista,f__Fabaceae_g__Desmodium,f__Fabaceae_g__Glycine,f__Fabaceae_g__Hylodesmum,f__Fabaceae_g__Lotus,f__Fabaceae_g__Medicago,f__Fabaceae_g__Melilotus,f__Fabaceae_g__Securigera,f__Fabaceae_g__Trifolium,f__Fagaceae_g__Quercus,f__Hydrangeaceae_g__Hydrangea,f__Lamiaceae_g__Agastache,f__Lamiaceae_g__Nepeta,f__Malvaceae_g__Abutilon,f__Malvaceae_g__Tilia,f__Moraceae_g__Maclura,f__Phytolaccaceae_g__Phytolacca,f__Plantaginaceae_g__Plantago,f__Plantaginaceae_g__Veronica,f__Poaceae_g__Andropogon,f__Poaceae_g__Zea,f__Polygonaceae_g__Fallopia,f__Polygonaceae_g__Persicaria,f__Polygonaceae_g__Polygonum,f__Polygonaceae_g__Rumex,f__Rosaceae_g__Geum,f__Rosaceae_g__Rosa,f__Scrophulariaceae_g__Buddleja,f__Scrophulariaceae_g__Verbascum,f__Solanaceae_g__Solanum,f__Ulmaceae_g__Ulmus,f__Vitaceae_g__Parthenocissus,f__Vitaceae_g__Vitis
2013-06-28,0.018333333,0.051666667,0,0.001,0.056666667,0,0.177,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079666667,0,0,0,0,0.012666667,0,0,0,0,0.079666667,0,0.137,0,0.132333333,0.001666667,0.133666667,0,0,0,0.003666667,0,0.001666667,0,0,0.001,0,0,0,0,0,0,0,0.004666667,0.076,0,0.014666667,0,0,0,0
2013-07-05,0,0.046666667,0,0,0.038333333,0,0.148666667,0.001333333,0,0,0,0,0.015666667,0.001333333,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0.001,0,0,0,0,0,0.035333333,0,0.006,0,0.154333333,0,0.137333333,0,0,0,0.004666667,0,0,0.007333333,0,0.120333333,0,0,0,0,0,0,0.001,0,0.010666667,0,0.005,0,0,0,0
2013-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0.001,0.045666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212666667,0.002,0,0,0,0,0,0.002,0,0,0.198,0,0.069,0,0.069,0.031,0.242666667,0,0,0,0.002333333,0,0,0.013666667,0,0.025666667,0,0,0,0,0,0,0.013666667,0,0,0,0,0,0,0.067666667,0
2013-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0.007333333,0,0.107,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.231333333,0,0,0,0,0,0,0.001333333,0.029,0,0.167,0,0.011333333,0,0.163333333,0,0.242333333,0.001,0,0,0.007333333,0,0,0,0,0.003,0,0,0.003,0,0,0,0.021666667,0,0,0,0,0,0,0.001,0
2013-07-26,0,0,0,0,0,0.006666667,0,0,0,0,0,0.011333333,0.016,0,0.058666667,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.02,0.001,0,0,0.001,0,0,0.001666667,0.291333333,0.001333333,0.046666667,0,0.079333333,0,0.017,0,0.388333333,0,0,0,0,0,0,0,0.001333333,0.029666667,0,0,0,0,0,0,0.026666667,0,0,0,0,0,0,0,0
2013-08-02,0,0,0,0,0,0.047666667,0,0,0,0,0,0,0,0,0.056666667,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.007333333,0.006,0,0,0,0,0,0.007,0.252333333,0.023333333,0.021333333,0.002333333,0,0,0.054,0,0.412666667,0,0,0,0.002333333,0,0,0,0,0.074333333,0,0,0,0,0,0,0.028333333,0,0,0,0,0,0,0,0
2013-08-10,0,0,0,0,0,0.088666667,0,0,0,0,0.041333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334666667,0.019333333,0,0,0,0,0,0,0.409,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0.031666667,0,0,0,0,0,0,0,0
2013-08-16,0,0,0,0,0,0,0,0,0,0,0.117333333,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.022666667,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0.235333333,0.004666667,0,0,0,0,0,0,0.355,0,0,0.010333333,0,0,0,0,0,0.137,0.002666667,0,0,0,0,0,0,0,0,0.084333333,0,0,0,0,0
2013-08-24,0,0,0.001,0,0,0,0,0,0.001,0,0.291666667,0,0,0.001,0,0,0,0.003,0,0,0,0,0.006333333,0.057666667,0,0.002,0.094666667,0,0,0,0,0,0,0,0,0.001,0,0.004333333,0.003666667,0.175333333,0,0,0,0,0,0,0,0.166333333,0,0,0.001666667,0,0,0,0,0,0.181666667,0,0.001333333,0,0,0.002666667,0,0,0,0,0,0,0,0.001333333,0,0
2013-09-01,0,0,0,0,0,0,0,0,0.001,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0.007,0.028666667,0,0,0.121,0.002,0.019666667,0,0,0.032333333,0,0,0,0,0,0,0.025666667,0.001,0,0,0,0,0,0.001333333,0,0.534,0,0,0,0,0.002,0,0,0,0.038,0,0,0,0.001,0.107666667,0.001333333,0.013,0,0,0,0,0,0,0,0
