date,f__Acanthaceae_g__Justicia,f__Adoxaceae_g__Sambucus,f__Amaranthaceae_g__Amaranthus,f__Amaryllidaceae_g__Allium,f__Apiaceae_g__Daucus,f__Araliaceae_g__Hedera,f__Asteraceae_g__Ageratina,f__Asteraceae_g__Ambrosia,f__Asteraceae_g__Arctium,f__Asteraceae_g__Cichorium,f__Asteraceae_g__Cirsium,f__Asteraceae_g__Cosmos,f__Asteraceae_g__Echinacea,f__Asteraceae_g__Eupatorium,f__Asteraceae_g__Eurybia,f__Asteraceae_g__Helianthus,f__Asteraceae_g__Heliopsis,f__Asteraceae_g__Rudbeckia,f__Asteraceae_g__Senecio,f__Asteraceae_g__Silphium,f__Asteraceae_g__Solidago,f__Asteraceae_g__Symphyotrichum,f__Asteraceae_g__Taraxacum,f__Asteraceae_g__Verbesina,f__Balsaminaceae_g__Impatiens,f__Bignoniaceae_g__Campsis,f__Brassicaceae_g__Brassica,f__Butomaceae_g__Butomus,f__Caprifoliaceae_g__Dipsacus,f__Cleomaceae_g__Tarenaya,f__Cucurbitaceae_g__Sicyos,f__Cyperaceae_g__Carex,f__Fabaceae_g__Chamaecrista,f__Fabaceae_g__Glycine,f__Fabaceae_g__Lotus,f__Fabaceae_g__Melilotus,f__Fabaceae_g__Securigera,f__Fabaceae_g__Trifolium,f__Fagaceae_g__Quercus,f__Hydrangeaceae_g__Hydrangea,f__Lamiaceae_g__Nepeta,f__Lythraceae_g__Lythrum,f__Malvaceae_g__Abutilon,f__Plantaginaceae_g__Plantago,f__Poaceae_g__Zea,f__Polygonaceae_g__Persicaria,f__Polygonaceae_g__Rumex,f__Ranunculaceae_g__Anemone,f__Ranunculaceae_g__Clematis,f__Rosaceae_g__Rosa,f__Vitaceae_g__Parthenocissus
2014-07-02,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0.006666667,0,0.005666667,0.360333333,0.037,0,0.405666667,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-09,0.01,0.128333333,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0,0.001,0,0,0.193666667,0.074,0,0.229333333,0,0,0,0,0,0,0,0,0,0,0,0.001333333,0.119666667
2014-07-15,0,0,0,0,0.001333333,0,0,0,0,0.005333333,0,0,0,0,0,0,0.002,0,0,0.001666667,0.002666667,0.001,0,0.001,0.001666667,0,0.189666667,0.016666667,0.010666667,0,0,0.006333333,0.007333333,0.009666667,0.073,0.011333333,0,0.401666667,0,0.004,0,0,0,0.235,0,0,0.006,0,0.002666667,0,0.004666667
2014-07-20,0,0,0,0,0,0,0,0,0,0.082333333,0.010666667,0,0.010333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280666667,0,0.006333333,0,0,0.002,0.001666667,0,0.041666667,0.067333333,0,0.275,0,0,0,0,0,0.187,0,0,0.002,0,0,0,0.031666667
2014-07-23,0,0,0,0,0,0,0,0,0,0.001333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194333333,0.018333333,0.017,0,0,0.018,0.009333333,0.001333333,0.054666667,0.014,0.001,0.525666667,0,0.003,0,0,0,0.111333333,0,0,0.016666667,0,0,0,0.011666667
2014-07-27,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163333333,0.007,0.007,0,0,0.008333333,0.167666667,0.038,0,0.019,0,0.475,0,0,0,0,0,0.082,0,0,0.014666667,0,0,0,0
2014-07-31,0,0,0,0,0,0,0,0,0,0.018333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091333333,0,0,0,0,0.004,0.347333333,0.064666667,0.001666667,0.011666667,0,0.444,0,0,0,0,0,0.007,0,0,0.008666667,0,0,0,0
2014-08-03,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0.002333333,0.266666667,0.031666667,0,0.007666667,0,0.444333333,0,0,0,0,0,0.104666667,0,0,0.015,0,0,0,0
2014-08-13,0,0,0,0,0,0,0,0.006,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0.015333333,0.322666667,0.001,0,0,0,0.483,0,0,0,0,0,0.074333333,0,0,0,0,0,0,0
2014-08-21,0,0,0,0,0.154333333,0,0,0.014333333,0.007,0.002666667,0,0,0,0.002,0,0,0,0.003333333,0,0,0,0,0,0.176666667,0,0,0.01,0.001,0,0,0.005333333,0,0.194666667,0,0,0,0,0.376333333,0,0,0,0,0,0.051,0,0,0,0,0,0,0
