date,f__Acanthaceae_g__Justicia,f__Adoxaceae_g__Viburnum,f__Amaranthaceae_g__Amaranthus,f__Amaryllidaceae_g__Allium,f__Anacardiaceae_g__Rhus,f__Apiaceae_g__Conium,f__Apiaceae_g__Eryngium,f__Apiaceae_g__Foeniculum,f__Araliaceae_g__Hedera,f__Asparagaceae_g__Polygonatum,f__Asteraceae_g__Ageratina,f__Asteraceae_g__Ageratum,f__Asteraceae_g__Ambrosia,f__Asteraceae_g__Arctium,f__Asteraceae_g__Artemisia,f__Asteraceae_g__Aster,f__Asteraceae_g__Centaurea,f__Asteraceae_g__Cichorium,f__Asteraceae_g__Cirsium,f__Asteraceae_g__Conoclinium,f__Asteraceae_g__Coreopsis,f__Asteraceae_g__Cosmos,f__Asteraceae_g__Erechtites,f__Asteraceae_g__Eupatorium,f__Asteraceae_g__Eurybia,f__Asteraceae_g__Eutrochium,f__Asteraceae_g__Helianthus,f__Asteraceae_g__Heliopsis,f__Asteraceae_g__Lactuca,f__Asteraceae_g__Leucanthemum,f__Asteraceae_g__Rudbeckia,f__Asteraceae_g__Senecio,f__Asteraceae_g__Silphium,f__Asteraceae_g__Solidago,f__Asteraceae_g__Sonchus,f__Asteraceae_g__Symphyotrichum,f__Asteraceae_g__Tanacetum,f__Asteraceae_g__Taraxacum,f__Asteraceae_g__Verbesina,f__Asteraceae_g__Xanthium,f__Asteraceae_g__Zinnia,f__Balsaminaceae_g__Impatiens,f__Bignoniaceae_g__Campsis,f__Brassicaceae_g__Alliaria,f__Brassicaceae_g__Barbarea,f__Brassicaceae_g__Brassica,f__Brassicaceae_g__Capsella,f__Brassicaceae_g__Diplotaxis,f__Brassicaceae_g__Erysimum,f__Butomaceae_g__Butomus,f__Caprifoliaceae_g__Dipsacus,f__Caprifoliaceae_g__Lonicera,f__Chenopodiaceae_g__Chenopodium,f__Convolvulaceae_g__Convolvulus,f__Fabaceae_g__Chamaecrista,f__Fabaceae_g__Glycine,f__Fabaceae_g__Lotus,f__Fabaceae_g__Melilotus,f__Fabaceae_g__Securigera,f__Fabaceae_g__Styphnolobium,f__Fabaceae_g__Trifolium,f__Fagaceae_g__Quercus,f__Hydrangeaceae_g__Hydrangea,f__Hypericaceae_g__Hypericum,f__Iridaceae_g__Iris,f__Lamiaceae_g__Agastache,f__Lamiaceae_g__Mentha,f__Lamiaceae_g__Nepeta,f__Lamiaceae_g__Salvia,f__Lythraceae_g__Lagerstroemia,f__Lythraceae_g__Lythrum,f__Papaveraceae_g__Eschscholzia,f__Phytolaccaceae_g__Phytolacca,f__Plantaginaceae_g__Plantago,f__Polygonaceae_g__Fallopia,f__Polygonaceae_g__Persicaria,f__Polygonaceae_g__Polygonum,f__Ranunculaceae_g__Anemone,f__Ranunculaceae_g__Clematis,f__Rosaceae_g__Rosa,f__Rutaceae_g__Phellodendron,f__Sapindaceae_g__Koelreuteria,f__Saxifragaceae_g__Heuchera,f__Scrophulariaceae_g__Buddleja,f__Solanaceae_g__Datura,f__Solanaceae_g__Lycium,f__Solanaceae_g__Solanum,f__Ulmaceae_g__Ulmus,f__Vitaceae_g__Parthenocissus
2013-06-28,0.028666667,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0.007666667,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.142666667,0.210666667,0.124,0,0.163666667,0.001333333,0,0,0,0,0,0.009666667,0.008,0,0,0,0.023333333,0.006333333,0,0,0,0,0,0,0,0.138333333,0,0,0,0,0.001,0,0.073
2013-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017666667,0.001333333,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.005333333,0,0,0,0,0.217666667,0.253333333,0.170666667,0,0.200333333,0.002333333,0.030333333,0.008,0,0,0,0.013,0.002,0,0.005333333,0.001,0.006666667,0.001333333,0,0,0,0,0,0,0,0.008,0.024333333,0,0,0,0,0,0.025333333
2013-07-13,0,0,0,0,0,0,0.003,0.005666667,0,0,0,0,0,0.030666667,0,0,0.199666667,0.004,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001666667,0,0,0,0,0.162333333,0.252333333,0.004333333,0,0.187333333,0.001,0,0.006,0,0,0,0.009,0.004666667,0,0,0,0.04,0.076666667,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0
2013-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008666667,0,0,0.132,0.001,0.002333333,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001333333,0,0.001,0,0.001333333,0,0,0,0,0,0,0,0.176,0.338333333,0.173,0,0.111,0.001666667,0,0.001,0,0,0,0.014666667,0,0,0,0,0.024666667,0.005333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-26,0,0,0,0,0,0,0,0,0.005333333,0,0,0,0,0.017333333,0,0,0.03,0.038666667,0.049,0,0,0,0,0,0,0.005333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001666667,0.001333333,0,0.002333333,0,0,0.100333333,0.081,0.162333333,0.141333333,0.17,0,0.072,0,0,0,0,0.002333333,0,0.048333333,0.007,0,0.03,0.031666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,0,0,0,0,0.003,0,0,0,0.024333333,0,0.001,0,0.008,0.021,0,0,0.001333333,0.036666667,0.004333333,0,0,0,0,0.007666667,0,0.011666667,0,0,0,0,0.001666667,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.003666667,0,0,0,0,0.004333333,0,0,0.003666667,0,0,0.253,0.082,0.017666667,0.288666667,0.103666667,0,0.040333333,0,0,0,0,0.002666667,0,0,0,0,0.009333333,0.039,0,0,0,0.006666667,0.001333333,0,0,0,0,0,0,0,0,0.014,0
2013-08-10,0,0,0.001333333,0,0,0,0,0,0.005666667,0,0,0,0,0.012333333,0,0,0,0.021666667,0.024333333,0,0,0,0,0.007333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0.007333333,0,0,0,0,0,0.008333333,0,0,0.017666667,0,0,0,0,0,0.143,0.014666667,0.011333333,0.001,0.195333333,0,0.096,0,0,0,0,0,0,0.038666667,0.061333333,0,0.010333333,0.256333333,0,0,0,0,0,0.007666667,0,0,0,0.004,0,0,0,0.008333333,0
2013-08-15,0,0,0,0,0,0,0,0,0.018666667,0,0,0,0.024333333,0,0,0,0,0.085333333,0.003666667,0,0.002,0,0,0,0,0,0.001666667,0.001,0.001333333,0,0.001,0,0,0,0,0,0.001333333,0.021333333,0.007,0,0.003,0,0,0,0,0.009333333,0,0.002666667,0,0,0,0,0,0,0,0,0.134,0.026666667,0.017,0.022,0.1,0,0.115,0,0.001,0,0,0.001333333,0,0.001666667,0.045333333,0,0.004666667,0.234666667,0,0,0,0.023666667,0,0.002333333,0,0,0,0.003,0,0,0,0.077333333,0
2013-08-24,0,0.001666667,0.001,0,0,0,0,0,0.135666667,0,0,0.014333333,0.103,0,0,0,0,0.001333333,0.006,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.001333333,0,0,0,0,0.004333333,0.002666667,0,0,0.006333333,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279333333,0,0.131333333,0,0,0,0,0,0,0.002333333,0.001333333,0,0.003666667,0.070666667,0,0,0,0.055666667,0.013666667,0.007333333,0,0,0,0.009,0,0,0,0.132333333,0
2013-09-01,0,0,0.003333333,0,0.081666667,0,0,0,0.13,0,0.007333333,0,0.099666667,0,0,0,0,0.010666667,0.002,0,0,0,0.003333333,0.108666667,0,0,0,0,0,0,0.001666667,0,0.003,0,0,0,0,0,0.013333333,0.002333333,0,0.016,0,0,0,0,0,0,0,0.004666667,0,0,0.011,0,0,0,0,0,0,0,0.196,0,0.001,0,0,0,0,0,0,0,0,0,0.014333333,0.028333333,0,0,0,0.037,0.078666667,0.002,0,0,0,0,0,0,0,0.141666667,0
